author,date,comment
A.J. Maciejewski,2017-06-06T04:00:00.000Z,Countless fantastic 2D action games released since Cave Story initially debuted yet it remains a wonderful experience that every genre fan needs to play.
Zachary Miller,2017-06-06T04:00:00.000Z,"Cave Story+ isn't the definitive version of Cave Story—I think that crown still belongs to the WiiWare version, but then again, that version isn't portable. I do miss the ability to switch graphical styles, but it's really the only regrettable absentee. The real takeaway here, though, is Cave Story is great and you should play it."
Renan Fontes,2017-06-05T04:00:00.000Z,Cave Story+ isn't just a good game in 2017; it's downright impressive.
Albert Lichi,2022-06-08T00:00:00.000Z,"Fez is a very easy-going experience for the most part, but it is also very capable of presenting a diabolical challenge to anyone looking for one. The descent to an otherworldly nightmare glitch-world is something that is not often done in video games, yet it makes a lot of sense; especially for something that focuses on a theme of perception and dimension. While the creator of Fez may have his issues, his game has very few and is very pleasant to play."
Evan Rowe,2021-06-17T00:00:00.000Z,"FEZ is the perfect confluence of beautiful visuals, deeply satisfying gameplay, a richly designed world, tightly interconnected systems, an astounding soundtrack, and fantastic pacing. Seldom are games this well composed, and it feels mostly as fresh today as it did the day it came out. This is the definition of a classic; it endures time and shows the mastery of its work as it ages. It will always be one of my favorites, and I can think of no more fitting a place to experience FEZ, be it for the first time or the tenth."
Josh Speer,2021-05-01T00:00:00.000Z,"Ultimately, I have more positive things than negative to say about FEZ. Sure it can be cumbersome and confusing at times, but it’s still a beautiful and creative game. It’s nice I was finally able to play this one-time exclusive on a Nintendo console. And though I didn’t 100% beat the game, I at least got one of the endings before writing this up. Now armed with my cool shades, I might be able to find the other hidden 32 cubes and maybe learn the true secrets underpinning the world of FEZ. If you enjoy puzzles, platformers, and indies, I’d definitely give this one a shot. Just don’t be ashamed if you need to consult a couple of guides online."
Vítor M. Costa,2021-04-27T00:00:00.000Z,"Fez has a unique and visionary aesthetic, after all it is not trivial to unite the concept of Ueda with a visual style of the 8-bit era and that can be, at the same time, charismatic and profound; as well as mysterious and humorous. Fez's problems are few, probably the most serious of them being the fact that it is not very challenging: it is very easy to inductively solve the puzzles, and the real challenge is to find the hidden anti-cubes, but they are optional."
James Luff,2021-04-25T00:00:00.000Z,"Fez to this day still remains quite a unique and original puzzle platformer with a charming graphical style to boot. This is a nice fit if you’re looking for a casual experience away from the dexterity and quick reflexes of other platformers. But if you are someone that likes to 100% you may need a guide to discover all the secrets.

The Switch version of Fez offers nothing new to the experience so there’s no reason to double dip if you’ve already had your Fez fill on a previous system. But if this is your first venture into the game or you want to introduce a friend to it, then have at it."
Neal Ronaghan,2021-04-21T00:00:00.000Z,"The way the game opens up as you play, revealing secrets on top of secrets is something I've never seen another game land quite as well. What stands out most to me about Fez after nine years is that I'm in the midst of my third playthrough and even with some of the sheer novelty being lessened, I'm as enthralled as I was back in 2012. Fez stands as a truly unique indie game that draws inspiration from classics but is wholly its own precious and maddening experience that needs to be played."
Thomas Pillon,2021-04-20T00:00:00.000Z,"On Switch or not, Fez is an incredible experience, strong and deep like very few games do. Whether you already played it somewhere else or not, Phil Fish's game is a must-have and did not aged a bit, even in 10 years."
Leonardo Faria,2021-04-19T00:00:00.000Z,"In short, Fez is as good now as it has always been. The reason I call this version the best way to experience this indie game is mostly due to the perfect combination of the Switch’s portability and its screen being much larger than the Vita’s. This is easily one of the best indies ever made, and one of the most important games of the past decade."
Alex Olney,2021-04-15T00:00:00.000Z,"FEZ is a fun, challenging puzzle platformer fit to burst with original ideas and unique gameplay wrinkles. Its puzzles bend reality and even leech into our own world on occasion, but aside from a few select mega-challenges never stray into the category of too obtuse or unfair. A few visual and mechanical quirks stop this from being a perfectly polished experience, but these are outweighed by its charm and other wonderful qualities ninefold. It's another one of those 'games you have to play' on Switch, and it couldn't be more at home."
Steven Tench,2015-08-10T04:00:00.000Z,"Fez, despite what faults I personally found with it, is by no means a bad game, and is easy enough to cope with given the aid of a strategy guide to go along with it. However, I, along with the entire industry can only imagine what Fez 2 would have been like if it had have been developed as originally planned."
Domenico Musicò,2014-08-25T00:00:00.000Z,"Even PlayStation users finally have the opportunity to try one of the most important works released outside the indie undergrowth, able to soar with arrogance even among the most prominent titles of the time thanks to its captivating formula, made with a care at times maniacal. FEZ is now a piece of modern video game history that certainly needs to be recovered."
Dominic Leighton,2014-04-17T04:00:00.000Z,"The ability to play across all of your systems, and transfer effortlessly between them, cannot be overstated, and the fact that you only have to pay once for it is an ideal that some companies are sadly still avoiding. Whilst there isn't necessarily much of a traditional challenge to the game, working your way through the different worlds is so enjoyable that you'll barely notice."
Özgür Yıldız,2014-04-15T00:00:00.000Z,"Successful visuality, different puzzle structure, interesting story, cross-buy feature is enough to buy for a single platform, Cross-save."
Nate Kiernan,2014-04-14T04:00:00.000Z,"Everything shines in FEZ with the sort of passion you only see in indie projects, and I am so very happy that it found its release and I was able to take part in it myself."
Matthew Codd,2014-04-08T04:00:00.000Z,All that for $18.95? You'd have to be a Square not to.
Shaan Joshi,2014-04-07T04:00:00.000Z,"I used to think that the joy of exploration and unbridled sense of discovery was lost to the games of consoles past, but Fez has not only proven me completely wrong, but it has given me hope for the future."
Fabio Bortolotti,2014-04-02T00:00:00.000Z,"An absolute masterpiece. A unique experience that satisfies the eyeballs, timpani, brain and even the heart."
Bradley Marsh,2014-04-02T00:00:00.000Z,"So what of Fez? Who is it for? The answer to that is everyone. If you haven't played before, then you must pick it up instantly, hell even if you played and completed, it is the sort of game that you will be happy to play through again. If you get it on PSN, you don't even need to settle on a single platform, what we can say is that the PSN release if the definitive version of Fez. Stop what you are doing and buy it now."
Brendan Griffiths,2014-04-01T04:00:00.000Z,"Fez isn't as fresh as it was two years ago and is purposefully frustrating by design at times with its pretentious refusal to adhere to a few sensible design decisions. There's a lot of effort required to progress and the game offers little back in return. If it could talk, it would say,""Play me or don't, I'm too cool to care."" So you may want to punch it right in its Michael Cera, but the forgiving attitude to failure and the admittedly neat world-rotating to explore every surface to find more cubes may pull you in. Try the demo first though."
Jeremy Parish,2014-04-01T00:00:00.000Z,"A novel exploration of the underpinnings of game graphics, Fez at once pays tribute to classic 2D platformers while revealing the shenanigans that went into their design. Borderline inscrutable at times, Fez is a puzzle on many levels. Yet its mysteries, clever as they are, deserve to be unravelled."
John Fleury,2014-03-30T04:00:00.000Z,"Fez offers a clever gameplay premise and a charming, minimalist presentation, but its overly open-ended nature and confusing navigation system detract from the overall package."
Adam Byrne,2014-03-28T04:00:00.000Z,"Fez is a resounding success, marrying a stunning score, innovative gameplay and a gorgeous art direction into a complete interwoven package. Little Gomez's journey is one of discovery and wonder and should rightfully find its home on PlayStation 4's across the land."
Adam Beck,2014-03-27T04:00:00.000Z,"Over the course of two years, Fez has somehow been able to break out of its Xbox Live Arcade confines, re-releasing on PC and now Sony's platforms. As it remains, this is still one of the most charming, charismatic adventures you will have, leaving those who experience it with a smile across their face for the duration of their play."
Francesco Fossetti,2014-03-27T00:00:00.000Z,"There is an element that stands out more than others, in that set of suggestions, quotes and atmospheres set up by Phil Fish: the beauty of craftsmanship. Fez is a title built pixel by pixel, over an interminable five years: a project that has voraciously accumulated ideas, artistic registers, original and traditional gameplay dynamics. The result is a real gem, a title that shines at the highest levels of the platform genre, and succeeding from start to finish to tease, intrigue and excite the player. The arrival on Sony platforms, after the hands of its creator, is a blessing. Don't miss this opportunity."
Roger Hargreaves,2014-03-25T04:00:00.000Z,The game may never live down the notoriety of its designer but this is still one of the most entertaining and imaginative indie games of the last decade.
Grégory Szriftgiser,2013-05-03T00:00:00.000Z,"If Fez is indeed a gem, he is not as polite as his peers, the Limbos and other Braids. But despite its bugs and inaccuracies, Fez is a smart game, made for lovers of puzzles and puzzles, those who like to take the lead, as much as exploring enchanting worlds and deliciously referenced 8bit. Personally, I completely cracked, and scribbling symbols, diagrams, in search of its secrets made me reconnect with a simple pleasure of play: that of discovering without being taken too much by the hand."
Mitch Dyer,2013-05-01T00:00:00.000Z,"Fez is a brilliant, beautiful platformer. Play it immediately."
Arthur Gies,2012-10-12T00:00:00.000Z,"Fez is the most authentic exploration of the NES era of games that I've ever played, from its sound and visuals to its obtuseness. It uses the capabilities of current systems to take those ideas further, while limiting itself with specific intentions, deploying scrutability in bits and pieces. It doesn't just love the games it borrows from — it understands them. It knows what it is and what it wants to be, and doesn't compromise on it. And for those willing to bury themselves in Fez's alien world and logic, there are plenty of treasures to be found."
Brian Dumlao,2012-05-19T00:00:00.000Z,"Given the amount of development time and the public nature of the game, Fez no longer seems like a revolutionary title. The puzzle mechanics has been used in several different ways in other games (that were released earlier), and the move away from realism and into a more whimsical, older look has also been done by other titles. The graphics and sound are still charming, even if it falters in a few places. More importantly, the game does a great job of throwing in a number of obtuse and brain-melting puzzles, and the sense of elation when you finally solve them is second to none. Those who love a good challenge will have some fun with this well-made puzzle platformer."
Laura Cawley,2012-05-02T00:00:00.000Z,"For what is a very reasonable price of 800MSP, Fez is a game that will give you hours of gameplay. There are still questions unanswered, even with the collective mind of the internet, so who knows how much the game has to offer. I do know that, even now, you will get a lot of enjoyment and frustration from this game if you are at all interested in puzzles. The cuteness and originality far exceeded my first expectations, and bodes for an overall excellent game."
James Cottee,2012-04-24T00:00:00.000Z,"But quibbles aside, Fez is brilliant."
Susan Arendt,2012-04-24T00:00:00.000Z,"Fez straddles the line between platformer and puzzler, taking the best from each genre and blending it into a refreshing whole. It doesn't punish experimentation or require advanced controller skills, letting you discover the game's secrets at your own pace."
Scott Nichols,2012-04-19T00:00:00.000Z,"Fez is ultimately a game about games much in the same way Hugo is a film about films. Fez can be very demanding to get the most out of it, but without ever actually asking anything of you. Do not play Fez to beat it, but play to explore and get lost in its puzzles and pixilated world."
Przemysław Zamęcki,2012-04-18T00:00:00.000Z,"Fez was formed in pain for several years. It was worth the wait - it's by far the best adventure-platform game available on Xbox 360 on Xbox LIVE Arcade. This title may have been about two years late to be called a milestone for the development of the independent games or games scene in general, but it is possible to pin it on the label of a work of art without fear. What I hereby do and encourage you to personally convince all readers of this."
Chloe Osborn,2022-01-27T00:00:00.000Z,"I’ve had Chicory: A Colorful Tale sitting in my Steam wishlist for quite a while, after seeing it come up on Twitter. What caught my eye was the illustrated animal characters and the focus on painting powers, seeing as I like to illustrate myself. Not wanting to spoil any more of the game, I added it to my wishlist in the hopes of returning to it when I had the money."
Willem Hilhorst,2022-01-18T00:00:00.000Z,"The soundtrack is stellar and completes the package on display here. It's a game that can be enjoyed for all ages and if you decide to pursue all the sidequests, complete the decorating minigames, and find all of the collectibles, you can certainly spend a lot of time in the world of Chicory. My only gripe is a personal one-that I didn't play this game last year-because without a doubt it makes for a wonderful late addition to the best of what 2021 had to offer. I cannot wait to see what Greg, Lena, Em, Alexis and Madeline will make next, because Chicory can't be described as anything other than a piece of modern art."
Sérgio Mota,2022-01-14T00:00:00.000Z,"Chicory: A Colorful Tale has a simple principle, but its gameplay quickly gains a dynamic of its own. The result is a fantastic work that puts painting at the centre of the adventure and will lead the player into completely unexpected paths. Thanks to the Nintendo Switch touch screen and the ability to play anywhere, Chicory: A Colorful Tale finds a perfect home in this console and it fits just right with anyone looking for a fun and enveloping adventure."
Amelia Fruzzetti,2021-12-27T00:00:00.000Z,"There’s so much more I could go on about – the customizability, the perfect pacing and length, the world map thrice as rich and dense as Zelda 1’s, the little moments of LGBT rep, the charm of all the names, how it manages it be more than the sum of its already gorgeous parts – but I don’t know if I’d be able to stop. Chicory: A Colorful Tale is a special game, one as finely crafted as it is sentimentally inspired, brimming with color for an experience so seemingly monochromatic.

There’s only one word for it: art."
Stuart Gipp,2021-12-23T00:00:00.000Z,"As an adventure game, Chicory is quite sincerely up there with the very best of the genre. There's plenty to see and do and a full completion run will probably take you 25-30 hours. The characters and their travails are rich and likeable, the game's sense of humour is generally inspired, and it's all very sweet without being sugary-twee and talking down to the player. It's also an affecting little tearjerker that will definitely strike a chord if you make art, and almost certainly will even if you don't – so long as you're capable of pretty basic empathy. Chicory is simple to play but impressively long and complex, with perfect controls, performance and visuals. Throw yourself into painting the world and you'll be left with a game that's very much your own and speaks to you directly – a beautiful marriage of mechanics, themes and visuals."
Paula Moore,2021-12-20T00:00:00.000Z,"Chicory: A Colorful Tale is a delightful adventure. It has an intriguing story, innovative gameplay mechanics, well-written characters, engaging puzzles, and a heart-warming story. Now that the game has been released on the Nintendo Switch, I think it’s found the perfect home. I highly recommend you give Chicory: A Colorful Tale a try. If I could, I’d give it four thumbs up. I love it!"
Seth Hay,2021-08-17T00:00:00.000Z,Chicory: A Colorful Tale is a unique indie game that not only lets players be the artist but also delivers a powerful message along with excellent gameplay and a whimsical soundtrack. It deserves to be on everyone’s radar to play and is a strong candidate for one of the best games of 2021.
Nick Cooney,2021-07-30T00:00:00.000Z,"Chicory: A Colorful Tale perfectly embraces the “don’t judge a book by its cover” metaphorical phrase. It lulls you into a false sense of security with its charmingly simple visuals and cute anthropomorphic characters. The depth found within its story is unexpected, surprising, and frankly wonderful storytelling. The focus on mental health is eye-opening, self-affirming and a great opportunity to learn. This is all wrapped up in a therapeutic and fun colouring game with a powerful soundtrack."
Jordan Biordi,2021-07-28T00:00:00.000Z,"Chicory: A Colorful Tale is an absolute delight—fun, engrossing, and bursting with creativity!"
Sean Garmer,2021-07-24T00:00:00.000Z,"From a fantastic story and endearing characters to varied puzzles and a great soundtrack there is just so much to love about Chicory: A Colorful Tale. Its coloring book world leaves everything open for your interpretation, but also doesn't force you to spend any more time with it than what is actually required. I loved every minute I spent with the game and it is easily my favorite game of 2021 so far."
Sam Wachter,2021-07-22T00:00:00.000Z,"Despite not everything going off without a hitch, and some systems sure to appeal more to certain kinds of gamers, Chicory’s emotional core is so strong, so impactful that it eclipses all other shortcomings and just leaves the player with an overwhelming feeling of pathos."
Bree Swaine,2021-07-19T00:00:00.000Z,"Chicory: A Colorful tale is an adorable little adventure with clever puzzles, cute writing, characters and hardstyle. The painting mechanics are incredibly well utilized and keep the gameplay constantly fresh while the gripping story keeps you wanting to play more and more. It also has plenty of secrets and items to find that keep the game replayable if you want to continue exploring. These things alone would make a good game, but the intelligent and heartfelt story is what makes it amazing. You learn so much about the characters and yourself while playing Chicory and it teaches such wonderful lessons that are applicable to anyone of any age. The writing and the world work together so perfectly to create an experience that is both fun and cute, while also being deeply profound. It isn’t a grand, sweeping story. It is small, it is personal and it hits incredibly close to home."
Ben Reeves,2021-07-12T00:00:00.000Z,"Chicory is an intriguing world full of hilarious characters and inventive game mechanics, which makes it a delight from start to finish"
Nimmi Faiya,2021-07-11T00:00:00.000Z,"From the quests to the main story, Chicory: A Colorful Story is a great time that will keep players’ attention till the end."
Tiago Herrmann,2021-07-09T00:00:00.000Z,"Chicory: A Colorful Tale is a bittersweet, powerful and human game that isn't afraid to demonstrate how depression can trick. Dyed in neutral, cool and warm colors, the title published by Finji is about fears and insecurities, but it also reminds us of the importance of being here moving forward, because absolutely everything we do is wonderful and always good enough."
Hope Corrigan,2021-07-05T00:00:00.000Z,Chicory: A Colorful Tale has you revitalise a colourless world. But that task comes with more existential dread than you might think.
Jayden Hellyar,2021-07-04T00:00:00.000Z,"Chicory: A Colorful Tale is a stunning game that should be on everyone's list of games to play. It features plenty of creative gameplay mechanics, which proved to be engaging with very minimal faults. The storyline is also incredibly charming, and you'll likely struggle to find a more wholesome game than Chicory."
Josh Wise,2021-07-03T00:00:00.000Z,"Chicory: A Colorful Tale is bound to the template set forth by The Legend of Zelda, but, rather than offering reflexive glibness, or inking the affair with irony, its critique wraps warmly around its subject, like a scarf."
Dalton Cooper,2021-07-03T00:00:00.000Z,Chicory: A Colorful Tale is a compelling twist on The Legend of Zelda formula that will appeal to fans of Nintendo's popular franchise.
Alessandro Barbosa,2021-07-02T00:00:00.000Z,Satisfying puzzles and cathartic painting mechanics support Chicory: A Colorful Tale's strikingly relatable story about self-doubt.
Mattia Ravanelli,2021-07-02T00:00:00.000Z,"Chicory teach everyone else how to tackle some real issues about our society and, ultimately, our life. But its gameplay lacks that spark that made Wandersong great."
A.J. Maciejewski,2021-07-01T00:00:00.000Z,Video games don't get much more heartwarming than Chicory: A Colorful Tale with its beautifully-interwoven gameplay and story.
Shaun Joy,2021-06-30T00:00:00.000Z,"You get a masterpiece of heart, filled with moments that will touch, but clever design that fills every aspect of the game. Make no mistake: don't miss this one."
Austin Jones,2021-06-29T00:00:00.000Z,"Lena Raine's fabulous soundtrack also must be commented on, which glistens with life but feels airy and sparse as if to mimic the gaps in color you have to fill over the course of the game. Despite being a pretty ""wholesome"" game, it doesn't mince words and never presents a simple solution to serious issues. I'm really happy I played Chicory-it's one I truly needed to play, and I hope a lot of people get something out of it too."
Nathan Hermanson,2021-06-26T00:00:00.000Z,"As I approached the end of Chicory, wiping tears out of my eyes and grinning like a fool, it became immediately apparent that this game had broken through as one of those special games. As one of my favorites of all time. At some point, I knew where Chicory would rank in my books, and it blew me away. I didn't think we'd get here so soon, but . . ."
Nicole Carpenter,2021-06-25T00:00:00.000Z,"Instead, Chicory asks, ""What if there's a better way?"" A person's worth is inherent, and it's not chosen for us. If we tear down those systems and rebuild something new, we can shift legacies and choose them for ourselves - it's no longer a gift bestowed upon us by some unfair, undated structure. With a little practice, maybe anyone can wield a paintbrush."
Rubén Manzanares,2021-06-24T00:00:00.000Z,"Chicory a Colorful Tale, is a great metroidvania with certain influences on classic titles but that stands out for its great ideas, creating a special title that I recommend adding to the library, in case you want to live a unique experience. A title with a great sound and artistic section in which you will be the artist in charge of giving color."
Kenzie Du,2021-06-22T00:00:00.000Z,"The world is your oyster - or rather, your canvas - in the charming and expressive adventure, Chicory: A Colorful Tale. Paint the world in the colors of your choosing and solve the mystery of why the world has gone black-and-white!"
Kim Snaith,2021-06-21T00:00:00.000Z,"If you like the idea of an open world adventure filled with wonderfully written characters, engaging puzzles and a heart-warming story, don’t hesitate to give Chicory: A Colorful Tale a try. It’s so much more than “a game you colour in yourself”; it’s a journey filled with heart and soul. It isn’t free of frustrations, but they’re easily forgiven thanks to just how charming and wonderfully unusual this adventure is."
Kwangseok Park,2021-06-18T00:00:00.000Z,"'Chicory: A Colorful Tale' is an adventure game that anyone can enjoy lightly like a coloring book. You can feel stable while filling maps with various colors, and fall in fun with well-organized Zelda style puzzles and actions."
James Bentley,2021-06-18T00:00:00.000Z,"Chicory is a wonderful, creative outing that is as grounding as it is it bursting with charm."
Jonathan Leo,2021-06-18T00:00:00.000Z,"Long story short, Chicory embodies the one major word that keeps us going: hope. All wrapped up in a charming title."
Andrew Thornton,2021-06-16T00:00:00.000Z,"Chicory: A Colorful Tale spoke to me deeply. I think most people who have pursued any creative outlet will find something to latch onto in its story. If that were the only strength here, you’d have a game worth your time. When you combine that with a beautiful art style, fantastic music, entertaining exploration, thought-provoking puzzles, and unique boss battles, you have a masterpiece. Coming out during the lead-up to E3, the same week that several other heavy hitters release, it would be easy for Chicory to get lost in the shuffle. Don’t let them happen. Few games releasing in 2021 will be more worthy of your time."
Toni Soininen,2017-10-08T04:00:00.000Z,"""The best 2D Sonic since the first three."""
Jeffrey L. Wilson,2017-09-28T04:00:00.000Z,"Sonic Mania distills Sonic down to its basic elements, resulting in a wonderfully lean Hedgehog throwback. Unfortunately, DRM issues prevent Sonic Mania from blazing a truly excellent trail."
Shaun Joy,2017-09-11T00:00:00.000Z,"It gets the Sonic Formula right, it just doesn't KO with anything new. But that's ok: because what's here is solid."
Gary Sheppard,2017-09-10T04:00:00.000Z,"Finally, we have the return to form that Sonic fans have been waiting for all these years. This isn't just one of the best Sonic games of recent years, but one of the best Sonic games full stop. You owe it to yourself to get a copy of this masterpiece."
"Kyle Movius,Elisha Deogracias",2017-09-07T04:00:00.000Z,"Whether you like the old Sonic games or the new ones, or even if you've never played one before, Sonic Mania holds plenty of fun for everyone."
Álvaro Oliveira Almeida,2017-09-06T04:00:00.000Z,Best Sonic 2D of all times.
Parham Aghakhani,2017-09-06T04:00:00.000Z,"Sonic Mania is not only one of the best titles in the series, but is also one of the best platformer games in recent years. It's clear that this game is made by people who really love the series and definitely knew what they were doing; because it's full of nostalgia, color, passion and personality. If you're a fan of sonic series or platformer games, you should not miss Sonic Mania"
Nicholas Leon,2017-09-06T04:00:00.000Z,"Sonic Mania is a franchise's identity found. It's simple, it's straightforward, it's what Sonic should be. The developers have gone back to the drawing board and have given new life to a franchise hat was on its last legs just a few years ago. This may be new life into the series, and here's hoping that it continues to be so."
Francis DiPersio,2017-09-05T04:00:00.000Z,"If you’ve been waiting for Sonic’s grand return to the spotlight, your wish has finally been granted. Sonic Mania is as good as it gets, proving that sometimes a franchise needs to rediscover its roots to move forward."
Chris Davis,2017-09-04T04:00:00.000Z,"Great Sonic games are a novelty these days. Fortunately, the novelty doesn’t wear off in a hurry. Sonic Mania is fast, fun, and full of surprises, from the first level until the last."
Chris Jecks,2017-09-04T04:00:00.000Z,"In the nearly 20 years since Sonic Adventure, it turns out all Sonic needed was a developer who actually understood what made a good Sonic game. Mania is a joyous non-stop celebration of everything you ever loved about Sonic The Hedgehog, with perfectly designed levels, and controls that feel just right.."
Ron Duwell,2017-09-03T04:00:00.000Z,"Sonic Mania is for everyone, and everyone should buy it. It succeeds at being a love letter to SEGA's classic days just as much as it succeeds at being a smartly designed video game with all of the reasons in the world to return to it over and over again. Older fans will love it, newer fans will love it, parents can play it with their kids."
O'Dell Harmon Jr.,2017-09-01T04:00:00.000Z,"I'm glad I lived long enough to see another great Sonic game; one that doesn't need the rose-tinted glasses of nostalgia.  It has learned from the past and forged its own identity. It's not perfect, but it is a new standard that series needed. Believe the Mania because the Blue Blur is back."
Andy Kelly,2017-09-01T04:00:00.000Z,A breakneck platformer that uses classic Sonic as a foundation for something fresh and exciting.
نواف النغموش,2017-08-31T04:00:00.000Z,"Sonic Mania never managed to find solutions for the series' problems. However, it returned what attracted many players after 24 years with a new layer, sending a message that the series still has an opportunity of improvement."
Cody Medellin,2017-08-30T04:00:00.000Z,"Sonic Mania is a must-have title for platforming fans, retro enthusiasts, and Sonic fans of all types. It captures the essence of what made the series memorable, with a balance of high speed and thoughtful level design that guides you to secrets but always takes you to the end. Boss fights are inventive, and the title's replay value is immense, given the unlockables and various available pathways based on your chosen character. All we can hope for now is an official sequel, spiritual or otherwise, from these same fans-turned-programmers."
Nathaniel Smyth,2017-08-28T04:00:00.000Z,"If Christian Whitehead just keeps making new Sonic levels, and SEGA lets him head more games, then the future of Sonic will be bright. Hats off to you, Mr. Whitehead."
Richard Dobson,2017-08-27T04:00:00.000Z,"The nostalgia felt when playing Sonic Mania means that SEGA have done a fantastic job. It looks the part, sounds the part and most importantly plays the part. It’s more challenging than I remember, but this is quite possibly due to there being a lot of new elements to the levels to learn, and my muscle memory from the old games counts for nothing here. There is plenty of replayability here though, so maybe one day those memories will return."
Brandon Orselli,2017-08-27T04:00:00.000Z,"It truly made me feel like I was playing Sonic the Hedgehog again for the very first time. I legitimately got choked up at how perfectly this game captures the magic of the originals, yet expands upon it. Let's hope that Sonic Forces is able to capture the same magic that Sonic Mania has."
Ovidio Fuentes,2017-08-27T04:00:00.000Z,Sonic Mania brings the best that the classics had to offer and then goes Super Sonic on you.
Joseph Choi,2017-08-24T04:00:00.000Z,"This game’s critical success should be a wake-up call for Sega to rethink their approach to Sonic in general. Although I can’t speak from the perspective of someone who didn’t grow up on Sonic, I truly believe this game boasts cross-generational appeal. Anyone who appreciates challenging, well-designed 2D platforming should find a lot to love here."
Clarice Kehoe,2017-08-24T04:00:00.000Z,My experience with Sonic Mania has been a blast and I have thoroughly enjoyed my time playing my old childhood game. I feel as if Sonic Mania is well deserving of the scores it has received and has brought Sonic back into its golden days.
Danreb Victorio,2017-08-24T04:00:00.000Z,"It’s clear that Sonic Mania was made with a lot of tender loving care, and with all the fans this game is set to please in addition to finding new ones, it would be a shame if Sega doesn’t name Christian Whitehead and company the new Sonic Team."
Ed Acosta,2017-08-24T04:00:00.000Z,"Even with the small issues, Sonic Mania is a love letter to Sonic fans. As it should be though, it was designed by fans for the fans. Sonic Mania is right up there with the best Sonic titles and an excellent throwback that longtime fans have been hoping and waiting for – myself included."
Matthew Zimmari,2017-08-23T04:00:00.000Z,"Despite its flaws, Sonic Mania is the type of game that players can keep going back to over and over. It has the replayability of the classic Sonic games with minor modernisations for current day gamers, and is sure to appeal to old and new players alike. For a franchise that for a while seemed to flounder and suffer from subpar titles, it offers hope to fans that there will be more to return the series to its former glory."
Angus Deacon,2017-08-23T04:00:00.000Z,A nostalgic platforming remix-o-rama made with love.
Ollie Barder,2017-08-23T04:00:00.000Z,"Overall, Sonic Mania is probably one of the best Sonic games ever made and is a very carefully and thoughtfully crafted game."
Gareth Harmer,2017-08-23T04:00:00.000Z,"I’ve thoroughly enjoyed Sonic Mania, and it’s a clear example of just how successful fan-created passion projects can be when they’re nurtured by a studio. I’m also hopeful that the 2D journey doesn’t end here either, but encourages Sega to continue further down this road with even more new content in the future. In the meantime, 3D fans have Sonic Forces to look forward to when it launches later this year."
Russell Collom,2017-08-23T00:00:00.000Z,"Sonic games have always been a roller coaster when it came to quality with often the best ones being the games that closely related back to past Sonic games. Sonic Mania, pulling inspiration from specifically the 2D versions of Sonic planned to not only offer a compelling return to form but also showcase how excellent a new Sonic game can be. Thankfully SEGA and significant developers of the Sonic community have brought this dream to life in what quite possibly is the best Sonic game yet."
Anthony Preece,2017-08-22T04:00:00.000Z,A prime example of how retro console gaming can still be fun AND relevant. Cracking good fun...
Daniel Stroński,2017-08-22T04:00:00.000Z,"Sonic Mania for as little as €20 contains everything what's best in the classic entries, and many fresh ideas. Must-have for all fans of the blue hedgehog – but only for them."
Dean James,2017-08-21T04:00:00.000Z,"Sonic fans have been waiting for a game that finally built on the legacy of the Genesis era Sonic games and Sonic Mania has finally captured that magic that has been missing. Bringing in a true Sonic fan to take the reigns of the series was very much the right decision and you can tell the level of loving detail put into every aspect of the game. It may have taken a long time, but everybody’s favorite Blue Blur is finally back in Sonic Mania and it feels so good."
Ivan Nikolai Barkow Castilho,2017-08-21T04:00:00.000Z,"Sonic Mania has the essence of the classic Genesis games offering a variety of stages with new and nostalgic features. It is possible to see the passion of the developers in creating a game with what the fans wanted when it comes to graphics, soundtrack and above all the gameplay."
Will Borger,2017-08-21T04:00:00.000Z,"Incredible levels, beautiful art, a fantastic soundtrack and classic gameplay make Sonic Mania the best Sonic game in years."
Gabriel Jones,2017-08-21T04:00:00.000Z,"Sonic Mania doesn't just stand shoulder to shoulder with the classics of yesteryear; it surpasses them. The level design is absolutely incredible. Each zone features a wealth of obstacles and secrets, and they're all superbly implemented. Players are given ample opportunity to explore, though there's also incentive in speeding to the end."
Yagmur Sevinc,2022-04-29T00:00:00.000Z,"If you’re looking for a game like Animal Crossing, you have found it. If you’re looking to spend a few hours on an experience that will stick with you, this is your game. Even though there is almost nothing to return to after you finish it, A Short Hike is a great experience that is well worth the four hours of your life."
Donovan Erskine,2021-11-24T00:00:00.000Z,"A Short Hike is a delightful journey through a vibrant park, bolstered by some fascinating characters and impressive writing. The gameplay is well-rounded, with abilities that are fun to use and a consistent progression. Despite a nitpick or two, there’s hardly anything to knock about Adamgryu’s latest outing."
Matt Lorrigan,2021-11-23T00:00:00.000Z,"A Short Hike is a wonderfully chill little game that can easily be finished in the space of an afternoon, combining clever traversal mechanics with a lo-fi visual style and a very relatable protagonist. If you’ve got a couple of hours to kill over a weekend, or after a stressful day of work, A Short Hike is an easy recommendation."
Alan Strawbridge,2021-11-18T00:00:00.000Z,"As whimsical and relaxing lo-res indie adventure games go, A Short Hike is up there with the best. It draws you in with its freewheeling 'go where you like' vibe, charms you with some beautiful artwork and music and offers up great pleasures in exploration as you stroll, climb and glide around the small mountainous island. You'll only be there for a few hours, but every moment is a chilled out pleasure."
